Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
117.0,MQ,,7,-3.0,ORD,719.0,2012-10-14,3737,,,EWR,,N503MQ,,11.1,6.7,0.0,0.0,0.0,0.0,102.36,0.0,0.0,0.0,10.0,7.2,8
166.0,UA,,6,3.0,SAN,1303.0,2012-09-01,1608,,,IAH,,N79402,,28.9,25.0,0.0,0.0,0.0,1.0,101.81,0.0,1.0,0.0,9.9,4.1000000000000005,14
,OO,,7,,ACV,250.0,2012-08-12,5494,,,SFO,,N582SW,,18.3,10.6,1.0,0.0,0.0,0.0,101.01,0.0,0.0,0.0,9.8,9.8,22
143.0,DL,,7,2.0,ATL,1199.0,2012-11-11,2016,,,DEN,,N908DA,,-5.0,-9.4,1.0,0.0,0.0,0.0,101.77,1.0,0.0,0.0,8.5,2.6,17
77.0,FL,0.0,6,-5.0,CLT,468.0,2012-03-24,1173,0.0,23.0,MCO,0.0,N990AT,0.0,28.3,17.8,0.0,0.0,0.0,1.0,101.56,0.0,1.0,0.0,10.0,4.6000000000000005,17
114.0,DL,,6,-10.0,AUS,813.0,2012-04-21,1868,,,ATL,,N612DL,,15.6,14.4,0.0,0.0,0.0,0.0,100.93,0.0,0.0,0.0,6.9,2.1,8
138.0,DL,,5,0.0,ATL,946.0,2012-10-12,1001,,,BOS,,N992DL,,8.3,1.7000000000000002,0.0,0.0,0.0,1.0,101.58,0.0,0.0,0.0,10.0,6.2,11
215.0,UA,0.0,5,38.0,ORD,1846.0,2012-03-23,637,5.0,18.0,SFO,0.0,N524UA,0.0,7.2,3.3000000000000003,0.0,0.0,0.0,0.0,101.9,0.0,0.0,0.0,10.0,1.5,15
108.0,AA,,3,18.0,MKE,853.0,2012-12-26,1516,,,DFW,,N555AA,,-0.6000000000000001,-6.7,0.0,0.0,0.0,0.0,102.33,1.0,0.0,0.0,9.8,4.1000000000000005,20
51.0,AA,,5,-6.0,JFK,187.0,2012-04-20,1807,,,BOS,,N3AWAA,,23.9,5.6000000000000005,0.0,0.0,0.0,0.0,101.44,0.0,0.0,0.0,10.0,8.200000000000001,19
129.0,EV,,6,-5.0,EWR,1008.0,2012-11-24,5599,,,MSP,,N538CA,,-9.4,-11.7,0.0,0.0,0.0,0.0,102.57,0.0,0.0,0.0,10.0,1.5,15
82.0,MQ,,4,-6.0,PNS,530.0,2012-02-02,3525,,,MIA,,N918MQ,,25.0,17.2,0.0,0.0,0.0,0.0,101.86,0.0,0.0,0.0,9.9,4.6000000000000005,21
,OO,,1,14.0,COS,809.0,2012-06-04,5214,,,IAH,,N784SK,,27.8,22.200000000000006,0.0,0.0,0.0,0.0,101.27,0.0,0.0,0.0,10.0,3.6,14
