Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
214.0,WN,,3,0.0,MDW,1733.0,2011-05-04,761,,,SEA,,N242WN,,9.4,3.3000000000000003,0.0,0.0,0.0,1.0,103.34,0.0,0.0,0.0,10.0,4.1000000000000005,6
102.0,AS,,6,-4.0,SJC,697.0,2011-11-19,320,,,SEA,,N534AS,,1.7000000000000002,0.0,1.0,0.0,0.0,0.0,100.79,0.0,0.0,0.0,8.3,3.1,6
63.0,DL,,6,-2.0,ATL,404.0,2011-09-17,14,,,MCO,,N585NW,,26.1,22.8,0.0,0.0,0.0,0.0,101.91,0.0,0.0,0.0,10.0,3.6,13
86.0,XE,0.0,2,-4.0,CMH,463.0,2011-09-27,2169,0.0,44.0,EWR,0.0,N16541,0.0,22.200000000000006,20.0,0.0,0.0,0.0,0.0,101.45,0.0,0.0,0.0,6.9,1.5,6
111.0,EV,,3,0.0,SAV,773.0,2011-04-27,5714,,,ORD,,N832AS,,10.0,8.9,0.0,0.0,2.0,1.0,99.81,0.0,0.0,0.0,8.7,,13
136.0,WN,,4,0.0,SAT,1069.0,2011-07-21,453,,,LAS,,N717SA,,37.8,-8.9,0.0,0.0,0.0,0.0,100.52,0.0,0.0,0.0,10.0,7.7,20
97.0,XE,,3,5.0,ATL,689.0,2011-04-13,2700,,,IAH,,N14904,,25.0,11.1,0.0,0.0,0.0,0.0,101.71,0.0,0.0,0.0,10.0,3.1,17
113.0,AA,,7,6.0,CLE,1021.0,2011-11-20,1298,,,DFW,,N592AA,,15.6,8.9,0.0,0.0,0.0,1.0,101.71,0.0,0.0,0.0,9.7,6.2,21
40.0,OO,,1,6.0,CWA,213.0,2011-03-21,6585,,,ORD,,N909SW,,9.4,6.1000000000000005,0.0,0.0,0.0,1.0,101.8,0.0,1.0,0.0,8.7,2.6,16
45.0,WN,0.0,4,31.0,BUR,223.0,2011-03-10,1909,22.0,0.0,LAS,0.0,N279WN,0.0,21.700000000000006,-2.2,0.0,0.0,0.0,0.0,101.86,0.0,0.0,0.0,10.0,2.1,20
208.0,US,0.0,5,8.0,CLT,1774.0,2011-03-11,1558,0.0,7.0,PHX,8.0,N183UW,0.0,30.6,-13.3,0.0,0.0,0.0,0.0,101.36,0.0,0.0,0.0,10.0,2.6,0
99.0,XE,,5,0.0,SAV,708.0,2011-06-10,2416,,,EWR,,N16546,,21.700000000000006,19.4,0.0,0.0,0.0,1.0,101.29,0.0,1.0,0.0,8.0,2.1,9
90.0,OO,,4,4.0,MCI,643.0,2011-03-17,1170,,,IAH,,N783SK,,21.1,17.2,0.0,0.0,0.0,0.0,102.3,0.0,0.0,0.0,9.8,4.6000000000000005,15
,MQ,,3,,MSP,1020.0,2011-12-07,4649,,,LGA,,N542MQ,,9.4,7.800000000000002,0.0,0.0,0.0,1.0,100.48,0.0,0.0,0.0,5.4,4.1000000000000005,19
