,CARRIER,CARRIER_DELAY,CRS_DEP_TIME,DEP_DELAY,DEST,FL_DATE,FL_NUM,LATE_AIRCRAFT_DELAY,NAS_DELAY,ORIGIN,SECURITY_DELAY,Unnamed: 12,WEATHER_DELAY
43734,AS,,1800.0,-2.0,SEA,2012-01-01,743,,,ATL,,,
44413,AS,7.0,1800.0,7.0,SEA,2012-01-02,743,0.0,17.0,ATL,0.0,,0.0
44502,AS,,1800.0,-1.0,SEA,2012-01-03,743,,,ATL,,,
45115,AS,,1800.0,0.0,SEA,2012-01-04,743,,,ATL,,,
45483,AS,,1800.0,0.0,SEA,2012-01-05,743,,,ATL,,,
73031,DL,,950.0,-2.0,SEA,2012-01-01,129,,,ATL,,,
73493,DL,28.0,1625.0,28.0,SEA,2012-01-01,1220,0.0,15.0,ATL,0.0,,0.0
5315,AA,,1135.0,1.0,SEA,2012-01-01,415,,,ORD,,,
5316,AA,,1135.0,-3.0,SEA,2012-01-02,415,,,ORD,,,
5317,AA,,1135.0,1.0,SEA,2012-01-03,415,,,ORD,,,
5318,AA,,1135.0,-5.0,SEA,2012-01-04,415,,,ORD,,,
5319,AA,88.0,1135.0,88.0,SEA,2012-01-05,415,0.0,24.0,ORD,0.0,,0.0
5320,AA,,1135.0,15.0,SEA,2012-01-06,415,,,ORD,,,
5321,AA,,1135.0,4.0,SEA,2012-01-08,415,,,ORD,,,
5322,AA,,1135.0,-1.0,SEA,2012-01-09,415,,,ORD,,,
5323,AA,0.0,1135.0,42.0,SEA,2012-01-10,415,28.0,0.0,ORD,0.0,,0.0
5324,AA,,1135.0,0.0,SEA,2012-01-11,415,,,ORD,,,
5325,AA,,1135.0,15.0,SEA,2012-01-12,415,,,ORD,,,
5326,AA,,1135.0,7.0,SEA,2012-01-13,415,,,ORD,,,
5327,AA,,1135.0,-1.0,SEA,2012-01-15,415,,,ORD,,,
5328,AA,,1135.0,-5.0,SEA,2012-01-16,415,,,ORD,,,
5329,AA,,1135.0,6.0,SEA,2012-01-17,415,,,ORD,,,
5330,AA,,1135.0,,SEA,2012-01-18,415,,,ORD,,,
,Temp,Datetime,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Station,Thunder,Tornado,Visibility,Windspeed
0,5.0,2012-01-01 00:00:00,-1.1,0.0,0.0,,1.0,102.78,0.0,SEA,0.0,0.0,10.0,3.6
1,4.4,2012-01-01 01:00:00,-1.7000000000000002,0.0,0.0,-0.0,1.0,102.73,0.0,SEA,0.0,0.0,10.0,4.1000000000000005
2,3.3000000000000003,2012-01-01 02:00:00,-1.1,0.0,0.0,-0.0,1.0,102.68,0.0,SEA,0.0,0.0,10.0,4.1000000000000005
3,3.3000000000000003,2012-01-01 03:00:00,-0.6000000000000001,0.0,0.0,-0.0,1.0,102.60000000000001,0.0,SEA,0.0,0.0,10.0,4.1000000000000005
4,4.4,2012-01-01 04:00:00,-3.9000000000000004,0.0,0.0,-0.0,1.0,102.62,0.0,SEA,0.0,0.0,10.0,1.5
5,5.0,2012-01-01 05:00:00,-4.4,0.0,0.0,-0.0,1.0,102.55,0.0,SEA,0.0,0.0,10.0,3.1
6,4.4,2012-01-01 06:00:00,-3.9000000000000004,0.0,0.0,-0.0,1.0,102.59,0.0,SEA,0.0,0.0,10.0,1.5
7,5.0,2012-01-01 07:00:00,-3.3000000000000003,0.0,0.0,-0.0,1.0,102.62,0.0,SEA,0.0,0.0,10.0,2.1
8,,2012-01-01 08:00:00,,0.0,0.0,-0.0,1.0,,0.0,SEA,0.0,0.0,10.0,
9,5.6000000000000005,2012-01-01 09:00:00,-1.7000000000000002,0.0,0.0,1.0,1.0,102.63,0.0,SEA,0.0,0.0,10.0,5.1000000000000005
10,5.6000000000000005,2012-01-01 10:00:00,-1.7000000000000002,0.0,0.0,1.0,1.0,102.58,0.0,SEA,0.0,0.0,10.0,4.1000000000000005
11,6.1000000000000005,2012-01-01 11:00:00,-1.7000000000000002,0.0,0.0,1.0,1.0,102.60000000000001,0.0,SEA,0.0,0.0,10.0,4.1000000000000005
12,5.6000000000000005,2012-01-01 12:00:00,-1.1,0.0,0.0,1.0,1.0,102.61,0.0,SEA,0.0,0.0,10.0,2.6
13,6.7,2012-01-01 13:00:00,-1.7000000000000002,0.0,0.0,-0.0,1.0,102.54,0.0,SEA,0.0,0.0,10.0,3.6
14,6.7,2012-01-01 14:00:00,-1.7000000000000002,0.0,0.0,-0.0,1.0,102.5,0.0,SEA,0.0,0.0,10.0,5.7
15,7.2,2012-01-01 15:00:00,-2.8000000000000003,0.0,0.0,-0.0,1.0,102.53,0.0,SEA,0.0,0.0,10.0,3.6
16,7.2,2012-01-01 16:00:00,-2.8000000000000003,0.0,0.0,-0.0,1.0,102.56,0.0,SEA,0.0,0.0,10.0,4.1000000000000005
17,7.800000000000001,2012-01-01 17:00:00,-2.8000000000000003,0.0,0.0,-0.0,1.0,102.56,0.0,SEA,0.0,0.0,10.0,5.1000000000000005
18,8.9,2012-01-01 18:00:00,-2.8000000000000003,0.0,0.0,-0.0,1.0,102.54,0.0,SEA,0.0,0.0,10.0,3.6
19,10.0,2012-01-01 19:00:00,-2.2,0.0,0.0,-0.0,1.0,102.48,0.0,SEA,0.0,0.0,10.0,5.1000000000000005
20,11.700000000000001,2012-01-01 20:00:00,-2.2,0.0,0.0,-0.0,1.0,102.38,0.0,SEA,0.0,0.0,10.0,5.7
21,12.200000000000001,2012-01-01 21:00:00,-2.2,0.0,0.0,-0.0,1.0,102.32000000000001,0.0,SEA,0.0,0.0,10.0,2.6
