origin,o_lon,o_lat,destination,d_lon,d_lat,delay,count
ATL,-84.428067,33.636719,MCO,-81.308994,28.429394,0,1
ATL,-84.428067,33.636719,LGA,-73.872608,40.777245,0,1
ATL,-84.428067,33.636719,MSP,-93.221767,44.881956,41,1
ATL,-84.428067,33.636719,MSP,-93.221767,44.881956,0,1
ATL,-84.428067,33.636719,MCO,-81.308994,28.429394,0,1
ATL,-84.428067,33.636719,DFW,-97.037997,32.896828,0,1
ATL,-84.428067,33.636719,DFW,-97.037997,32.896828,4,1
ATL,-84.428067,33.636719,CLT,-80.943139,35.214,3,1
ATL,-84.428067,33.636719,MIA,-80.290556,25.79325,12,1
ATL,-84.428067,33.636719,MSP,-93.221767,44.881956,3,1
ATL,-84.428067,33.636719,PHL,-75.241139,39.871944,0,1
ATL,-84.428067,33.636719,EWR,-74.168667,40.6925,12,1
ATL,-84.428067,33.636719,JFK,-73.778925,40.639751,0,1
ATL,-84.428067,33.636719,LAX,-118.408075,33.942536,54,1
ATL,-84.428067,33.636719,IAH,-95.341442,29.984433,8,1
ATL,-84.428067,33.636719,LAX,-118.408075,33.942536,1,1
ATL,-84.428067,33.636719,LAS,-115.15225,36.080056,5,1
ATL,-84.428067,33.636719,IAH,-95.341442,29.984433,0,1
ATL,-84.428067,33.636719,MCO,-81.308994,28.429394,0,1
ATL,-84.428067,33.636719,DEN,-104.673178,39.861656,0,1
ATL,-84.428067,33.636719,SEA,-122.309306,47.449,0,1
ATL,-84.428067,33.636719,CLT,-80.943139,35.214,0,1
ATL,-84.428067,33.636719,LGA,-73.872608,40.777245,18,1
ATL,-84.428067,33.636719,PHL,-75.241139,39.871944,41,1
ATL,-84.428067,33.636719,DFW,-97.037997,32.896828,0,1
ATL,-84.428067,33.636719,MCO,-81.308994,28.429394,0,1
ATL,-84.428067,33.636719,SEA,-122.309306,47.449,0,1
ATL,-84.428067,33.636719,PHX,-112.011583,33.434278,0,1
ATL,-84.428067,33.636719,MIA,-80.290556,25.79325,0,1
ATL,-84.428067,33.636719,LAX,-118.408075,33.942536,26,1
ATL,-84.428067,33.636719,LGA,-73.872608,40.777245,4,1
ATL,-84.428067,33.636719,ORD,-87.904842,41.978603,0,1
ATL,-84.428067,33.636719,SEA,-122.309306,47.449,3,1
ATL,-84.428067,33.636719,MCO,-81.308994,28.429394,3,1
ATL,-84.428067,33.636719,LAS,-115.15225,36.080056,0,1
BOS,-71.005181,42.364347,ATL,-84.428067,33.636719,25,1
BOS,-71.005181,42.364347,ATL,-84.428067,33.636719,0,1
BOS,-71.005181,42.364347,PHL,-75.241139,39.871944,0,1
BOS,-71.005181,42.364347,PHL,-75.241139,39.871944,0,1
BOS,-71.005181,42.364347,LGA,-73.872608,40.777245,0,1
BOS,-71.005181,42.364347,MCO,-81.308994,28.429394,0,1
BOS,-71.005181,42.364347,DEN,-104.673178,39.861656,1,1
BOS,-71.005181,42.364347,MSP,-93.221767,44.881956,27,1
BOS,-71.005181,42.364347,CLT,-80.943139,35.214,0,1
BOS,-71.005181,42.364347,DEN,-104.673178,39.861656,65,1
BOS,-71.005181,42.364347,DFW,-97.037997,32.896828,105,1
BOS,-71.005181,42.364347,EWR,-74.168667,40.6925,15,1
BOS,-71.005181,42.364347,PHX,-112.011583,33.434278,71,1
BOS,-71.005181,42.364347,LGA,-73.872608,40.777245,0,1
BOS,-71.005181,42.364347,ORD,-87.904842,41.978603,1,1
BOS,-71.005181,42.364347,ATL,-84.428067,33.636719,0,1
BOS,-71.005181,42.364347,DFW,-97.037997,32.896828,17,1
CLT,-80.943139,35.214,JFK,-73.778925,40.639751,0,1
CLT,-80.943139,35.214,DTW,-83.353389,42.212444,0,1
CLT,-80.943139,35.214,DFW,-97.037997,32.896828,0,1
CLT,-80.943139,35.214,ATL,-84.428067,33.636719,0,1
CLT,-80.943139,35.214,BOS,-71.005181,42.364347,42,1
CLT,-80.943139,35.214,EWR,-74.168667,40.6925,0,1
CLT,-80.943139,35.214,EWR,-74.168667,40.6925,0,1
CLT,-80.943139,35.214,DFW,-97.037997,32.896828,4,1
CLT,-80.943139,35.214,BOS,-71.005181,42.364347,1,1
CLT,-80.943139,35.214,LGA,-73.872608,40.777245,0,1
CLT,-80.943139,35.214,ATL,-84.428067,33.636719,3,1
CLT,-80.943139,35.214,SFO,-122.374889,37.618972,46,1
CLT,-80.943139,35.214,DEN,-104.673178,39.861656,118,1
CLT,-80.943139,35.214,ATL,-84.428067,33.636719,9,1
CLT,-80.943139,35.214,BOS,-71.005181,42.364347,0,1
CLT,-80.943139,35.214,DTW,-83.353389,42.212444,0,1
CLT,-80.943139,35.214,LGA,-73.872608,40.777245,0,1
CLT,-80.943139,35.214,SFO,-122.374889,37.618972,0,1
CLT,-80.943139,35.214,ATL,-84.428067,33.636719,0,1
CLT,-80.943139,35.214,PHL,-75.241139,39.871944,0,1
DEN,-104.673178,39.861656,ORD,-87.904842,41.978603,0,1
DEN,-104.673178,39.861656,PHX,-112.011583,33.434278,2,1
DEN,-104.673178,39.861656,DTW,-83.353389,42.212444,9,1
DEN,-104.673178,39.861656,LAS,-115.15225,36.080056,0,1
DEN,-104.673178,39.861656,LAX,-118.408075,33.942536,111,1
DEN,-104.673178,39.861656,IAH,-95.341442,29.984433,30,1
DEN,-104.673178,39.861656,ATL,-84.428067,33.636719,0,1
DEN,-104.673178,39.861656,ORD,-87.904842,41.978603,0,1
DEN,-104.673178,39.861656,LAX,-118.408075,33.942536,0,1
DEN,-104.673178,39.861656,IAH,-95.341442,29.984433,4,1
DEN,-104.673178,39.861656,BOS,-71.005181,42.364347,294,1
DEN,-104.673178,39.861656,MCO,-81.308994,28.429394,5,1
DEN,-104.673178,39.861656,LGA,-73.872608,40.777245,69,1
DEN,-104.673178,39.861656,LGA,-73.872608,40.777245,7,1
DEN,-104.673178,39.861656,SEA,-122.309306,47.449,1,1
DEN,-104.673178,39.861656,PHL,-75.241139,39.871944,0,1
DEN,-104.673178,39.861656,CLT,-80.943139,35.214,0,1
DEN,-104.673178,39.861656,DTW,-83.353389,42.212444,40,1
DEN,-104.673178,39.861656,LAS,-115.15225,36.080056,0,1
DEN,-104.673178,39.861656,LGA,-73.872608,40.777245,0,1
DEN,-104.673178,39.861656,DFW,-97.037997,32.896828,0,1
DEN,-104.673178,39.861656,LAS,-115.15225,36.080056,0,1
DEN,-104.673178,39.861656,IAH,-95.341442,29.984433,3,1
DEN,-104.673178,39.861656,IAH,-95.341442,29.984433,5,1
DEN,-104.673178,39.861656,DTW,-83.353389,42.212444,26,1
DEN,-104.673178,39.861656,DTW,-83.353389,42.212444,5,1
DEN,-104.673178,39.861656,SFO,-122.374889,37.618972,12,1
DFW,-97.037997,32.896828,ORD,-87.904842,41.978603,59,1
DFW,-97.037997,32.896828,LAS,-115.15225,36.080056,0,1
DFW,-97.037997,32.896828,LAS,-115.15225,36.080056,0,1
DFW,-97.037997,32.896828,DEN,-104.673178,39.861656,0,1
DFW,-97.037997,32.896828,PHX,-112.011583,33.434278,6,1
DFW,-97.037997,32.896828,LAX,-118.408075,33.942536,0,1
DFW,-97.037997,32.896828,MCO,-81.308994,28.429394,6,1
DFW,-97.037997,32.896828,ORD,-87.904842,41.978603,1,1
DFW,-97.037997,32.896828,ORD,-87.904842,41.978603,0,1
DFW,-97.037997,32.896828,MCO,-81.308994,28.429394,0,1
DFW,-97.037997,32.896828,LAX,-118.408075,33.942536,131,1
DFW,-97.037997,32.896828,ATL,-84.428067,33.636719,0,1
DFW,-97.037997,32.896828,DEN,-104.673178,39.861656,31,1
DFW,-97.037997,32.896828,DTW,-83.353389,42.212444,0,1
DFW,-97.037997,32.896828,ATL,-84.428067,33.636719,0,1
DFW,-97.037997,32.896828,ATL,-84.428067,33.636719,0,1
DFW,-97.037997,32.896828,EWR,-74.168667,40.6925,0,1
DFW,-97.037997,32.896828,DTW,-83.353389,42.212444,28,1
DFW,-97.037997,32.896828,ATL,-84.428067,33.636719,28,1
DFW,-97.037997,32.896828,LAX,-118.408075,33.942536,0,1
DFW,-97.037997,32.896828,MSP,-93.221767,44.881956,19,1
DFW,-97.037997,32.896828,ATL,-84.428067,33.636719,0,1
DTW,-83.353389,42.212444,SEA,-122.309306,47.449,0,1
DTW,-83.353389,42.212444,LAS,-115.15225,36.080056,0,1
DTW,-83.353389,42.212444,ATL,-84.428067,33.636719,0,1
DTW,-83.353389,42.212444,LGA,-73.872608,40.777245,52,1
DTW,-83.353389,42.212444,LAS,-115.15225,36.080056,44,1
DTW,-83.353389,42.212444,IAH,-95.341442,29.984433,72,1
DTW,-83.353389,42.212444,PHL,-75.241139,39.871944,0,1
DTW,-83.353389,42.212444,ORD,-87.904842,41.978603,1,1
DTW,-83.353389,42.212444,LAX,-118.408075,33.942536,13,1
DTW,-83.353389,42.212444,PHL,-75.241139,39.871944,33,1
DTW,-83.353389,42.212444,MCO,-81.308994,28.429394,0,1
DTW,-83.353389,42.212444,SEA,-122.309306,47.449,2,1
DTW,-83.353389,42.212444,ORD,-87.904842,41.978603,1,1
DTW,-83.353389,42.212444,BOS,-71.005181,42.364347,0,1
DTW,-83.353389,42.212444,MIA,-80.290556,25.79325,0,1
DTW,-83.353389,42.212444,LAS,-115.15225,36.080056,0,1
DTW,-83.353389,42.212444,LGA,-73.872608,40.777245,15,1
DTW,-83.353389,42.212444,BOS,-71.005181,42.364347,1,1
DTW,-83.353389,42.212444,ORD,-87.904842,41.978603,9,1
EWR,-74.168667,40.6925,IAH,-95.341442,29.984433,0,1
EWR,-74.168667,40.6925,SEA,-122.309306,47.449,3,1
EWR,-74.168667,40.6925,LAX,-118.408075,33.942536,38,1
EWR,-74.168667,40.6925,ORD,-87.904842,41.978603,6,1
EWR,-74.168667,40.6925,DEN,-104.673178,39.861656,3,1
EWR,-74.168667,40.6925,ORD,-87.904842,41.978603,0,1
EWR,-74.168667,40.6925,ORD,-87.904842,41.978603,0,1
EWR,-74.168667,40.6925,SEA,-122.309306,47.449,10,1
EWR,-74.168667,40.6925,BOS,-71.005181,42.364347,0,1
IAH,-95.341442,29.984433,PHX,-112.011583,33.434278,1,1
IAH,-95.341442,29.984433,SEA,-122.309306,47.449,0,1
IAH,-95.341442,29.984433,ORD,-87.904842,41.978603,2,1
IAH,-95.341442,29.984433,ORD,-87.904842,41.978603,0,1
IAH,-95.341442,29.984433,PHX,-112.011583,33.434278,0,1
IAH,-95.341442,29.984433,CLT,-80.943139,35.214,0,1
IAH,-95.341442,29.984433,DEN,-104.673178,39.861656,11,1
IAH,-95.341442,29.984433,ATL,-84.428067,33.636719,2,1
IAH,-95.341442,29.984433,LAX,-118.408075,33.942536,0,1
IAH,-95.341442,29.984433,LAX,-118.408075,33.942536,0,1
IAH,-95.341442,29.984433,MSP,-93.221767,44.881956,4,1
IAH,-95.341442,29.984433,DEN,-104.673178,39.861656,2,1
IAH,-95.341442,29.984433,LAS,-115.15225,36.080056,76,1
IAH,-95.341442,29.984433,LAX,-118.408075,33.942536,2,1
IAH,-95.341442,29.984433,PHL,-75.241139,39.871944,0,1
IAH,-95.341442,29.984433,PHL,-75.241139,39.871944,0,1
